source,uid,numero,legislature,organe,texte_ref,acteur_ref,groupe_ref,cosignataires_refs,signataires_libelle,dispositif,expose_sommaire,full_text_len,date_depot,sort,keyword_groups,file,depute_nom,depute_prenom,depute_groupe,depute_groupe_abrev,depute_departement
amendement,AMANR5L17PO849474B0481P0D1N000945,CS945,17,CSVIEECO,PRJLANR5L17B0481,PA793980,PO845439,PA610968|PA793780|PA588884|PA841701|PA2940|PA795362|PA795454|PA840997|PA841885|PA841507|PA794008|PA721210|PA793452|PA841351|PA795010|PA841419|PA842013|PA840947|PA794022|PA794146|PA841223|PA795636|PA842045|PA793708|PA793664|PA794154|PA794778|PA793948|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713,"M.&#160;Fournier,  M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, Mme&#160;Voynet, Mme&#160;Belluco, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, M.&#160;Nicolas&#160;Bonnet, Mme&#160;Chatelain, M.&#160;Corbi&#232;re, M.&#160;Davi, M.&#160;Duplessy, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, Mme&#160;Ozenne, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, M.&#160;Thierry, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian et M.&#160;Tavernier","Après l’alinéa 35, insérer l’alinéa suivant : « À compter du 1 er janvier 2027, les centre de données ayant été qualifiés de projet d’intérêt national majeur ont un approvisionnement énergétique composé à 45 % d’énergie produite à partir de sources renouvelables. »","Le présent amendement vise à introduire une obligation d'approvisionnement en énergies renouvelables à hauteur de 45% minimum dans le mix énergétique des centres de données reconnus comme projets industriels d’intérêt national majeur, au sens de l'article 19 de la loi relative à l'industrie verte. Selon l’étude Ademe-Arcep de janvier 2025, les datacenters français ont consommé en 2022 environ 39 TWh d'électricité, soit près de 8,7% de la consommation électrique française. La dernière révision de la directive européenne énergies renouvelables (RED III) établit l’objectif de la part d'énergies renouvelables qui devra être utilisée d’ici 2030 à 42,5%. Les États membres qui le souhaitent peuvent compléter cet objectif par un supplément indicatif de 2,5% qui permettrait d’atteindre 45%. Des objectifs ont également été fixés par secteurs d'activité ; tel que le secteur de l'industrie, qui doit augmenter son utilisation d'énergies renouvelables de 1,6% par an. Cet amendement vise donc à faire",1835,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N000945.json,Fournier,Charles,Écologiste et Social,ECOS,Indre-et-Loire
amendement,AMANR5L17PO849474B0481P0D1N001133,CS1133,17,CSVIEECO,PRJLANR5L17B0481,PA793980,PO845439,PA794008|PA721210|PA793452|PA841351|PA795010|PA841419|PA842013|PA840947|PA794022,"M.&#160;Fournier,  Mme&#160;Chatelain, M.&#160;Corbi&#232;re, M.&#160;Davi, M.&#160;Duplessy, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu et M.&#160;Iordanoff",Supprimer cet article.,"Un projet d’intérêt national majeur, créé par la loi industrie verte, correspond à “tout projet industriel qui revêt, eu égard à son objet et à son envergure, notamment en termes d'investissement et d'emploi, une importance particulière pour la transition écologique ou la souveraineté nationale”. Ces projets permettent de s’extraire de plusieurs obligations relatives au droit de l’environnement, et correspondent également à une recentralisation des compétences en termes d’urbanisme, au détriment des élus locaux. Cet amendement vise à supprimer l’article 15 qui prévoit la possibilité d’inclure les datacenters dans la liste de ces projets. Ces projets d’intérêt national majeur sont qualifiés par décret et le périmètre d'octroi de qualification est très large. L’appréciation revient aux autorités, or n’importe quel data center ne devrait pas pouvoir bénéficier de ce dispositif, mais la décision devrait être appréciée au regard de l’utilité publique, sociale et ",1875,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N001133.json,Fournier,Charles,Écologiste et Social,ECOS,Indre-et-Loire
amendement,AMANR5L17PO849474B0481P0D1N001096,CS1096,17,CSVIEECO,PRJLANR5L17B0481,PA793452,PO845439,PA610968|PA793780|PA588884|PA841701|PA795362|PA795454|PA840997|PA841885|PA841507|PA794008|PA721210|PA841351|PA793980|PA795010|PA841419|PA842013|PA840947|PA794022|PA794146|PA841223|PA795636|PA842045|PA793708|PA793664|PA794154|PA794778|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713|PA793948|PA2940,"M.&#160;Davi,  M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, Mme&#160;Belluco, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, M.&#160;Nicolas&#160;Bonnet, Mme&#160;Chatelain, M.&#160;Corbi&#232;re, M.&#160;Duplessy, M.&#160;Fournier, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, Mme&#160;Ozenne, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian, M.&#160;Tavernier, M.&#160;Thierry et Mme&#160;Voynet","À l’alinéa 3, après le mot : « données », insérer les mots : « , sous réserve de ne pas engendrer d’artificialisation des sols au sens du neuvième alinéa de l’article L. 101‑2‑1, ».","Par cet amendement de repli, le groupe Écologiste et social entend s’opposer à la construction de centres de données dans les espaces non-artificialisés. En France, entre 20 000 et 30 000 hectares d’espaces naturels, agricoles et forestiers sont consommés chaque année. Ce phénomène se poursuit à un rythme 4 fois plus important que celui de l’augmentation de la population. En métropole, ce phénomène affecte notamment les prairies, qui sont des écosystèmes très riches : elles représentent le premier type de milieux détruit par l’artificialisation entre 1990 et 2018 (plus de 55 000 hectares détruits soit plus de 2 fois la superficie de Marseille). Le territoire français dispose de nombreuses friches industrielles et d’une grande quantité de zones déjà artificialisées pouvant accueillir des centres de données : les terres qui échappent encore au béton ne sauraient être sacrifiées pour satisfaire des intérêts privés. Les documents d’orientation et d’objectifs des schémas de cohérence territ",1561,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N001096.json,Davi,Hendrik,Écologiste et Social,ECOS,Bouches-du-Rhône
amendement,AMANR5L17PO849474B0481P0D1N000642,CS642,17,CSVIEECO,PRJLANR5L17B0481,PA793744,PO845413,PA795228|PA793262|PA794906|PA794138|PA795588|PA795084|PA842105|PA841657|PA720430|PA793772|PA795616|PA793444|PA794938|PA795318|PA841023|PA796090|PA793912|PA842187|PA842037|PA791812|PA793736|PA721202|PA795136|PA793464|PA842155|PA795200|PA795844|PA841251|PA794786|PA794870|PA796070|PA795310|PA794478|PA841947|PA794082|PA794130|PA720846|PA841729|PA795516|PA841515|PA795672|PA795108|PA795298|PA791824|PA842029|PA793532|PA795746|PA342384|PA795422|PA794686|PA841215|PA795482|PA610654|PA841191|PA721960|PA793872|PA720892|PA817211|PA793756|PA796062|PA719578|PA721062|PA841845|PA795982|PA795466|PA720952|PA794106|PA794166|PA795164|PA795596,"Mme&#160;Stambach-Terrenoir,  Mme&#160;Abomangoli, M.&#160;Alexandre, M.&#160;Amard, Mme&#160;Amiot, Mme&#160;Amrani, M.&#160;Arenas, M.&#160;Arnault, Mme&#160;Belouassa-Cherifi, M.&#160;Bernalicis, M.&#160;Bex, M.&#160;Bilongo, M.&#160;Bompard, M.&#160;Boumertit, M.&#160;Boyard, M.&#160;Cadalen, M.&#160;Caron, M.&#160;Carri&#232;re, Mme&#160;Cathala, M.&#160;Cernon, Mme&#160;Chikirou, M.&#160;Clouet, M.&#160;Coquerel, M.&#160;Coulomme, M.&#160;Delogu, M.&#160;Diouara, Mme&#160;Dufour, Mme&#160;Erodi, Mme&#160;Feld, M.&#160;Fernandes, Mme&#160;Ferrer, M.&#160;Gaillard, Mme&#160;Guett&#233;, M.&#160;Guiraud, Mme&#160;Hamdane, Mme&#160;Hignet, M.&#160;Kerbrat, M.&#160;Lachaud, M.&#160;Lahmar, M.&#160;Laisney, M.&#160;Le&#160;Coq, M.&#160;Le&#160;Gall, Mme&#160;Leboucher, M.&#160;Legavre, Mme&#160;Legrain, Mme&#160;Lejeune, Mme&#160;Lepvraud, M.&#160;L&#233;aument, Mme&#160;&#201;lisa&#160;Martin, M.&#160;Maudet, Mme&#160;Maximi, Mme&#160;Mesmeur, Mme&#160;Manon&#160;Meunier, M.&#160;Nilor, Mme&#160;Nosb&#233;, Mme&#160;Obono, Mme&#160;Oziol, Mme&#160;Panot, M.&#160;Pilato, M.&#160;Piquemal, M.&#160;Portes, M.&#160;Prud&apos;homme, M.&#160;Ratenon, M.&#160;Saint-Martin, M.&#160;Saintoul, Mme&#160;Soudais, M.&#160;Tach&#233;, Mme&#160;Taurinya, M.&#160;Tavel, Mme&#160;Trouv&#233; et M.&#160;Vannier",Supprimer cet article.,"Cet amendement du groupe LFI-NFP vise à la suppression de l'article 15, qui prévoit notamment une régression majeure de nos objectifs de réduction de l'artificialisation des sols pour les projets industriels, et qui prévoit de réduire les exigences environnementales pour l'implantation de data centers. En effet, l'article 15 prévoit d'une part de qualifier de projets d’intérêt national majeur pour la transition numérique, la transition écologique ou la souveraineté nationale les centres de données de dimension industrielle (data center), conformément au cadre introduit à l’article L. 300-6-2 du code de l’urbanisme par la loi du 23 octobre 2023 relative à l’industrie verte. Cela aura pour effet de réduire les exigences environnementales et d'urbanisme qui s'imposeront pour l'implantation de data centers, sans lien avec les besoins et les exigences de la bifurcation agroécologique. Ce statut de projet d'intérêt national majeur (PINM) permet en effet de bénéficier des mesures d’accélérati",3064,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N000642.json,Stambach-Terrenoir,Anne,La France insoumise - Nouveau Front Populaire,LFI-NFP,Haute-Garonne
amendement,AMANR5L17PO849474B0481P0D1N001263,CS1263,17,CSVIEECO,PRJLANR5L17B0481,PA841507,PO845439,PA795362|PA793980|PA793452|PA842045|PA610968|PA793780|PA588884|PA841701|PA795454|PA840997|PA841885|PA794008|PA721210|PA841351|PA795010|PA842013|PA841419|PA840947|PA794022|PA794146|PA841223|PA795636|PA793708|PA793664|PA794154|PA794778|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713|PA793948|PA2940,"M.&#160;Nicolas&#160;Bonnet,  Mme&#160;Belluco, M.&#160;Fournier, M.&#160;Davi, Mme&#160;Ozenne, M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, Mme&#160;Chatelain, M.&#160;Corbi&#232;re, M.&#160;Duplessy, Mme&#160;Garin, M.&#160;Gustave, M.&#160;Damien&#160;Girard, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian, M.&#160;Tavernier, M.&#160;Thierry et Mme&#160;Voynet","Après le mot : « promouvoir », rédiger ainsi la fin de l’alinéa 4 : « une intelligence artificielle respectueuse des droits humains et des libertés fondamentales, du droit à la vie privée et à la protection des données à caractère personnel, accessible, et qui réduit ses impacts climatiques, environnementaux et énergétiques. »","Cet amendement vise à préciser l’intégration d’une mention explicite de l’intelligence artificielle au mandat de la CNIL, en rappelant notamment le besoin de régulation de l’utilisation de l’intelligence artificielle afin de préserver les droits humains et les libertés fondamentales, le respect du droit à la vie privée et de la protection des données à caractère personnel, ainsi que la réduction de ses impacts climatiques, environnementaux et énergétiques.",789,2025-03-20,,souverainete_numerique|ia_calcul,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N001263.json,Bonnet,Nicolas,Écologiste et Social,ECOS,Puy-de-Dôme
amendement,AMANR5L17PO849474B0481P0D1N001176,CS1176,17,CSVIEECO,PRJLANR5L17B0481,PA841507,PO845439,PA795362|PA793980|PA793452|PA842045|PA610968|PA793780|PA588884|PA841701|PA795454|PA840997|PA841885|PA794008|PA721210|PA841351|PA795010|PA841419|PA842013|PA840947|PA794022|PA794146|PA841223|PA795636|PA793708|PA793664|PA794154|PA794778|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713|PA793948|PA2940,"M.&#160;Nicolas&#160;Bonnet,  Mme&#160;Belluco, M.&#160;Fournier, M.&#160;Davi, Mme&#160;Ozenne, M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, Mme&#160;Chatelain, M.&#160;Corbi&#232;re, M.&#160;Duplessy, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian, M.&#160;Tavernier, M.&#160;Thierry et Mme&#160;Voynet",Substituer aux alinéas 15 à 25 l’alinéa suivant : « 1° bis (nouveau) Le deuxième alinéa du 1° du I de l’article L. 123‑2 est supprimé ; ».,"La loi relative à l’industrie verte a notamment introduit la possibilité de remplacer l’enquête publique par une consultation publique. Alors que l'enquête publique, engagée par le préfet et conduite par un commissaire enquêteur, consiste à recueillir les avis de la population, la consultation du public se limite à une simple mise à disposition des documents relatifs au projet permettant le recueil d'observations du public sans l'intervention d'un commissaire enquêteur. Ainsi, la participation du public n’est, à nos yeux, pas satisfaisante dans le cadre d’une consultation publique, notamment dans le cas de projets industriels d’envergure. Cet amendement vise notamment à permettre la tenue d’une enquête publique préalablement à l’installation d’un datacenter.",907,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N001176.json,Bonnet,Nicolas,Écologiste et Social,ECOS,Puy-de-Dôme
amendement,AMANR5L17PO849474B0481P0D1N000847,CS847,17,CSVIEECO,PRJLANR5L17B0481,PA795362,PO845439,PA793980|PA841507|PA793452|PA842045|PA610968|PA793780|PA588884|PA841701|PA795454|PA840997|PA841885|PA721210|PA841351|PA794008|PA795010|PA841419|PA842013|PA840947|PA794022|PA794146|PA841223|PA795636|PA793708|PA793664|PA794154|PA794778|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713|PA793948|PA2940,"Mme&#160;Belluco,  M.&#160;Fournier, M.&#160;Nicolas&#160;Bonnet, M.&#160;Davi, Mme&#160;Ozenne, M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, M.&#160;Corbi&#232;re, M.&#160;Duplessy, Mme&#160;Chatelain, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian, M.&#160;Tavernier, M.&#160;Thierry et Mme&#160;Voynet","Rédiger ainsi cet article : « I. – L’article L. 300‑6‑2 du code de l’urbanisme est abrogé. « II. – La section 1 du chapitre I er du titre I er du livre IV du code de l’environnement est ainsi modifiée : « 1° Au c du 4° du I de l’article L. 411‑2, les mots : « impératives d’intérêt public majeur » sont supprimés ; « 2° L’article L. 411‑2‑1 est abrogé. « III. – L’article L. 211‑2‑1 du code de l’énergie est abrogé. « IV. – L’article L. 122‑1‑1 du code de l’expropriation est abrogé. »","Cet amendement supprime la notion raison impérative d’intérêt public majeur (RIIPM). La raison impérative d’intérêt public majeur est un outil pour contourner le droit. Les projets qui en relèvent sont définis par décret, sans transparence dans les choix opérés, sans regard du parlement, sans conditionnalité à l’utilité du projet. Cet article prévoit encore l’élargissement de cette RIIPM à d’autres projets, comme les datacenters. Au lieu de poursuivre cette fuite en avant, alors même qu’aucun bilan n’a été tiré de la loi sur l’accélération des énergies renouvelables ou l’industrie verte, cet amendement propose de revenir à un droit plus simple, sans exception fondée uniquement sur le bon vouloir du Prince. C’est la raison pour laquelle il propose la suppression de la notion de RIIPM. De plus, la RIIPM n’est pas source de simplification de la vie économique. Au contraire : les dérogations créent de l’incertitude, du flou, et ne permettent le plus souvent pas de faire sortir les projets ",1691,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N000847.json,Belluco,Lisa,Écologiste et Social,ECOS,Vienne
amendement,AMANR5L17PO849474B0481P0D1N000849,CS849,17,CSVIEECO,PRJLANR5L17B0481,PA795362,PO845439,PA793980|PA841507|PA793452|PA842045|PA610968|PA793780|PA588884|PA841701|PA795454|PA840997|PA841885|PA721210|PA841351|PA794008|PA795010|PA841419|PA842013|PA840947|PA794022|PA794146|PA841223|PA795636|PA793708|PA793664|PA794154|PA794778|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713|PA793948|PA2940,"Mme&#160;Belluco,  M.&#160;Fournier, M.&#160;Nicolas&#160;Bonnet, M.&#160;Davi, Mme&#160;Ozenne, M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, M.&#160;Corbi&#232;re, M.&#160;Duplessy, Mme&#160;Chatelain, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian, M.&#160;Tavernier, M.&#160;Thierry et Mme&#160;Voynet","Après l’alinéa 7, insérer les quatre alinéas suivants : « I ter (nouveau) . – L’intérêt général d’un projet mentionné au premier alinéa du présent article ne peut être prononcé si : « 1° Le projet accroît la demande en eau, et est mené dans une zone présentant, ou susceptible de présenter sous l’effet du changement climatique, une insuffisance, autre qu’exceptionnelle, des ressources par rapport aux besoins en eau ; « 2° Le projet est mené dans une zone qui pourrait, du fait de l’utilisation de ","L’objet de cet amendement est de conditionner l’implantation de data centers et d’industries à la présence d’une ressource en eau en qualité et en quantité suffisante. Si seuls 5 % de l’eau consommé en France l’est pour les usages industriels, certains procédés contribuent à une consommation très élevée de la ressource. C’est par exemple le cas des usines de fabrication comme STMicroelectronics en Isère, qui pourraient consommer autant d’eau qu’une ville de 160 000 habitants. C’est également le cas des data centers. Dans son rapport environnemental, Google a révélé avoir prélevé 28 milliards de litres d’eau dans l’année, dont les deux tiers — de l’eau potable — pour refroidir ses data centers. Entre 2018 et 2022, ses prélèvements ont bondi de 82 %. Alors que les centres de données sont construits partout dans le monde, avec un taux de croissance de 12,6 % par an, la publication des chiffres relatifs à la consommation d’eau reste soumise au bon vouloir des industriels, Google faisant fi",3348,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N000849.json,Belluco,Lisa,Écologiste et Social,ECOS,Vienne
amendement,AMANR5L17PO849474B0481P0D1N000249,CS249,17,CSVIEECO,PRJLANR5L17B0481,PA841191,PO845413,PA795228|PA793262|PA794906|PA794138|PA795588|PA795084|PA842105|PA841657|PA720430|PA793772|PA795616|PA793444|PA794938|PA795318|PA841023|PA796090|PA793912|PA842187|PA842037|PA791812|PA793736|PA721202|PA795136|PA793464|PA842155|PA795200|PA795844|PA841251|PA794786|PA794870|PA796070|PA795310|PA794478|PA841947|PA794082|PA794130|PA720846|PA841729|PA795516|PA841515|PA795672|PA795108|PA795298|PA791824|PA842029|PA793532|PA795746|PA342384|PA795422|PA794686|PA841215|PA795482|PA610654|PA721960|PA793872|PA720892|PA817211|PA793756|PA796062|PA719578|PA721062|PA841845|PA795982|PA795466|PA793744|PA720952|PA794106|PA794166|PA795164|PA795596,"Mme&#160;Nosb&#233;,  Mme&#160;Abomangoli, M.&#160;Alexandre, M.&#160;Amard, Mme&#160;Amiot, Mme&#160;Amrani, M.&#160;Arenas, M.&#160;Arnault, Mme&#160;Belouassa-Cherifi, M.&#160;Bernalicis, M.&#160;Bex, M.&#160;Bilongo, M.&#160;Bompard, M.&#160;Boumertit, M.&#160;Boyard, M.&#160;Cadalen, M.&#160;Caron, M.&#160;Carri&#232;re, Mme&#160;Cathala, M.&#160;Cernon, Mme&#160;Chikirou, M.&#160;Clouet, M.&#160;Coquerel, M.&#160;Coulomme, M.&#160;Delogu, M.&#160;Diouara, Mme&#160;Dufour, Mme&#160;Erodi, Mme&#160;Feld, M.&#160;Fernandes, Mme&#160;Ferrer, M.&#160;Gaillard, Mme&#160;Guett&#233;, M.&#160;Guiraud, Mme&#160;Hamdane, Mme&#160;Hignet, M.&#160;Kerbrat, M.&#160;Lachaud, M.&#160;Lahmar, M.&#160;Laisney, M.&#160;Le&#160;Coq, M.&#160;Le&#160;Gall, Mme&#160;Leboucher, M.&#160;Legavre, Mme&#160;Legrain, Mme&#160;Lejeune, Mme&#160;Lepvraud, M.&#160;L&#233;aument, Mme&#160;&#201;lisa&#160;Martin, M.&#160;Maudet, Mme&#160;Maximi, Mme&#160;Mesmeur, Mme&#160;Manon&#160;Meunier, M.&#160;Nilor, Mme&#160;Obono, Mme&#160;Oziol, Mme&#160;Panot, M.&#160;Pilato, M.&#160;Piquemal, M.&#160;Portes, M.&#160;Prud&apos;homme, M.&#160;Ratenon, M.&#160;Saint-Martin, M.&#160;Saintoul, Mme&#160;Soudais, Mme&#160;Stambach-Terrenoir, M.&#160;Tach&#233;, Mme&#160;Taurinya, M.&#160;Tavel, Mme&#160;Trouv&#233; et M.&#160;Vannier",Supprimer cet article.,"Par cet amendement, les député.es du groupe LFI-NFP proposent de supprimer l'article 23. Cet article est au mieux inutile, au pire néfaste. D'une part, il prévoit ""la prise en compte des enjeux d’innovation dans l’ensemble des missions de la Commission nationale de l'informatique et des libertés (CNIL)"", et notamment dans le cadre de son évaluation publique des conséquences des évolutions technologiques. Considérant que le terme d’innovation était indéfini le Sénat a ajouté une disposition afin qu’une mission de la CNIL soit consacrée à accompagner spécifiquement l'innovation dans le domaine de l'intelligence artificielle (IA) et pour encourager les entreprises à recourir à la Commission. Or, les missions confiées à la CNIL par le législateur prennent déjà en compte les avancées technologiques et leurs conséquences : la loi du 6 janvier 1978 prévoit qu’elle se tient informée de l’évolution technologique et rend publique le cas échéant son appréciation des conséquences qui en résultent ",2854,2025-03-19,,souverainete_numerique|ia_calcul,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N000249.json,Nosbé,Sandrine,La France insoumise - Nouveau Front Populaire,LFI-NFP,Isère
amendement,AMANR5L17PO849474B0481P0D1N001161,CS1161,17,CSVIEECO,PRJLANR5L17B0481,PA841507,PO845439,PA795362|PA793980|PA793452|PA842045|PA610968|PA793780|PA588884|PA841701|PA795454|PA840997|PA841885|PA794008|PA721210|PA841351|PA795010|PA841419|PA842013|PA840947|PA794022|PA794146|PA841223|PA795636|PA793708|PA793664|PA794154|PA794778|PA795076|PA722142|PA610002|PA795808|PA796018|PA736201|PA841713|PA793948|PA2940,"M.&#160;Nicolas&#160;Bonnet,  Mme&#160;Belluco, M.&#160;Fournier, M.&#160;Davi, Mme&#160;Ozenne, M.&#160;Amirshahi, Mme&#160;Arrighi, Mme&#160;Autain, Mme&#160;Balage&#160;El&#160;Mariky, M.&#160;Ben&#160;Cheikh, M.&#160;Biteau, M.&#160;Arnaud&#160;Bonnet, Mme&#160;Chatelain, M.&#160;Corbi&#232;re, M.&#160;Duplessy, Mme&#160;Garin, M.&#160;Damien&#160;Girard, M.&#160;Gustave, Mme&#160;Catherine&#160;Hervieu, M.&#160;Iordanoff, Mme&#160;Laernoes, M.&#160;Lahais, M.&#160;Lucas-Lundy, M.&#160;Peytavie, Mme&#160;Pochon, M.&#160;Raux, Mme&#160;Regol, Mme&#160;Sandrine&#160;Rousseau, M.&#160;Ruffin, Mme&#160;Sas, Mme&#160;Sebaihi, Mme&#160;Simonnet, Mme&#160;Taill&#233;-Polian, M.&#160;Tavernier, M.&#160;Thierry et Mme&#160;Voynet","Rédiger ainsi l’alinéa 6 : « I bis . – Un centre de données peut également être qualifié par décret de projet d’intérêt national majeur lorsqu’il est la propriété des administrations, des services publics et des entités de droit privé ou de droit public poursuivant une mission de service public, et qu’il est consacré à l’hébergement de leurs données. »","A minima, l’intérêt pour la souveraineté nationale peut s’apprécier au regard du caractère public des données hébergées par les datacenters. Cet amendement propose de conditionner la possibilité de décréter un datacenter projet d’intérêt national majeur au stockage de données publiques, c'est-à-dire les données des administrations, des services publics et des entités de droit privé ou de droit public poursuivant une mission de service public administrations publiques, comme les ministères, les universités, les hôpitaux, etc. Le seul “intérêt national majeur” potentiel d’un datacenter est de stocker des données publiques sur le territoire national.",1010,2025-03-20,,data_center,/home/user/Operation_robespierre/Amendements/DLR5L16N49868/PRJLANR5L17B0481/AMANR5L17PO849474B0481P0D1N001161.json,Bonnet,Nicolas,Écologiste et Social,ECOS,Puy-de-Dôme
