Député·e,Groupe,Circo Somme,Amendements,Séances,QE,Total,Thème dominant,Position déduite
François Ruffin,ECOS,1re,56,1,0,57,Réglementation & projets,✓ Favorable
Zahia Hamdane,LFI-NFP,2e,96,0,0,96,Réglementation & projets,✓ Favorable
Matthias Renault,RN,3e,32,34,0,66,Infrastructure éolienne,~ Nuancé / Mixte
Jean-Philippe Tanguy,RN,4e,22,12,0,34,Infrastructure éolienne,⚠ Critique / Opposé
Yaël Ménaché,RN,5e,30,0,0,30,Infrastructure éolienne,⚠ Critique / Opposé
